;År;Kommunenr;Kommunenavn;Boligbebyggelse;Fritidsbebyggelse;Bebygd område for landbruk og fiske;Næring. offentlig og privat tjenesteyting;Undervisning og barnehage;Helse- og sosialinstitusjoner;Kultur og religiøse aktiviteter;Transport. telekommunikasjon og teknisk infrastruktur;Beredskapstjenester og Forsvaret;Grønne områder. idretts- og sportsområder;Uklassifisert bebyggelse og anlegg;Jordbruksareal;Skog;Åpen fastmark;Våtmark;Bart fjell. grus- og blokkmark;Varig snø. is og bre;Ferskvann;Uklassifisert ubebygd område
4786;2019;1532;Giske;0.0557;0.0022;0.0207;0.0116;0.0025;0.0005;0.0007;0.0653;0.0002;0.0086;0.0067;0.2853;0.0604;0.3629;0.0636;0.031;0.0;0.0222;0.0
4787;2020;1532;Giske;0.0564;0.0022;0.0207;0.0116;0.0025;0.0005;0.0007;0.0655;0.0002;0.0086;0.0071;0.2846;0.0601;0.3629;0.0633;0.0308;0.0;0.0222;0.0
4788;2011;1534;Haram;0.0116;0.0014;0.0063;0.0024;0.0006;0.0002;0.0002;0.0142;0.0;0.0012;0.0018;0.0797;0.3395;0.4522;0.0378;0.0232;0.0;0.0278;0.0
4789;2013;1534;Haram;0.0118;0.0015;0.0062;0.0025;0.0006;0.0002;0.0002;0.0142;0.0;0.0016;0.0017;0.08;0.3395;0.4514;0.0376;0.0232;0.0;0.0278;0.0
4790;2014;1534;Haram;0.0118;0.0015;0.0059;0.0024;0.0007;0.0002;0.0002;0.0146;0.0;0.0016;0.0016;0.0807;0.3411;0.4492;0.0375;0.0231;0.0;0.0278;0.0
4791;2015;1534;Haram;0.012;0.0015;0.006;0.0025;0.0007;0.0002;0.0002;0.0143;0.0;0.0016;0.0016;0.0808;0.3411;0.4492;0.0376;0.0231;0.0;0.0278;0.0
4792;2016;1534;Haram;0.0121;0.0015;0.0059;0.0024;0.0006;0.0002;0.0002;0.0141;0.0;0.0016;0.0017;0.081;0.3412;0.4492;0.0376;0.0231;0.0;0.0278;0.0
4793;2017;1534;Haram;0.0122;0.0015;0.0058;0.0025;0.0007;0.0002;0.0002;0.0147;0.0;0.0018;0.0015;0.0808;0.3411;0.4487;0.0378;0.0231;0.0;0.0277;0.0
4794;2018;1534;Haram;0.0123;0.0016;0.0058;0.0025;0.0007;0.0002;0.0002;0.0147;0.0;0.0018;0.0016;0.0807;0.341;0.4486;0.0377;0.0231;0.0;0.0277;0.0
4795;2019;1534;Haram;0.0124;0.0016;0.0057;0.0025;0.0007;0.0002;0.0002;0.0147;0.0;0.0018;0.0016;0.0807;0.3409;0.4484;0.0377;0.0231;0.0;0.0278;0.0
4797;2011;1535;Vestnes;0.007;0.0015;0.004;0.0022;0.0004;0.0002;1e-04;0.0099;0.0;0.0011;0.0009;0.0539;0.4682;0.3464;0.0456;0.0433;0.0;0.0152;0.0
4798;2013;1535;Vestnes;0.0073;0.0017;0.004;0.0024;0.0004;0.0002;1e-04;0.01;0.0;0.0011;0.0008;0.0538;0.4678;0.3463;0.0456;0.0433;0.0;0.0152;0.0
4799;2014;1535;Vestnes;0.0076;0.0017;0.0041;0.0024;0.0004;0.0002;1e-04;0.01;0.0;0.0011;0.001;0.056;0.4655;0.346;0.0454;0.0433;0.0;0.0152;0.0
4800;2015;1535;Vestnes;0.0076;0.0017;0.0041;0.0024;0.0004;0.0002;1e-04;0.0097;0.0;0.0011;0.001;0.0561;0.4657;0.346;0.0454;0.0433;0.0;0.0152;0.0
4801;2016;1535;Vestnes;0.0076;0.0017;0.0041;0.0024;0.0004;0.0002;1e-04;0.0096;0.0;0.001;0.001;0.056;0.4658;0.3462;0.0454;0.0433;0.0;0.0152;0.0
4802;2017;1535;Vestnes;0.0077;0.0018;0.004;0.0034;0.0004;0.0002;1e-04;0.0103;0.0;0.0012;0.0009;0.056;0.4651;0.3452;0.0453;0.0432;0.0;0.0152;0.0
4803;2018;1535;Vestnes;0.0077;0.0018;0.004;0.0036;0.0004;0.0002;1e-04;0.0103;0.0;0.0012;0.0009;0.056;0.4651;0.3452;0.0453;0.0432;0.0;0.0152;0.0
4804;2019;1535;Vestnes;0.0078;0.0018;0.004;0.0034;0.0004;0.0002;1e-04;0.0103;0.0;0.0012;0.001;0.056;0.4648;0.3453;0.0453;0.0432;0.0;0.0153;0.0
4805;2020;1535;Vestnes;0.0078;0.0018;0.004;0.0035;0.0004;0.0002;1e-04;0.0102;0.0;0.0012;0.001;0.056;0.4648;0.3453;0.0453;0.0432;0.0;0.0153;0.0
4806;2011;1539;Rauma;0.0014;0.0008;0.0014;0.0008;1e-04;0.0;0.0;0.0047;0.0002;0.0003;0.0002;0.0242;0.2706;0.3896;0.0154;0.2366;0.0123;0.0415;0.0
4807;2013;1539;Rauma;0.0014;0.0007;0.0014;0.0009;0.0;0.0;0.0;0.0048;0.0002;0.0004;0.0002;0.0249;0.2699;0.3894;0.0154;0.2366;0.0123;0.0414;0.0
4808;2014;1539;Rauma;0.0014;0.0007;0.0013;0.0008;1e-04;0.0;0.0;0.0048;0.0002;0.0004;0.0002;0.0253;0.2701;0.3897;0.0154;0.237;0.0111;0.0414;0.0
4809;2015;1539;Rauma;0.0014;0.0008;0.0014;0.0008;0.0;0.0;0.0;0.0048;0.0002;0.0004;0.0002;0.0253;0.2701;0.3897;0.0154;0.237;0.0111;0.0415;0.0
4810;2016;1539;Rauma;0.0014;0.0008;0.0014;0.0009;0.0;0.0;0.0;0.0047;0.0002;0.0004;0.0002;0.0253;0.2699;0.3896;0.0154;0.2369;0.0111;0.0417;0.0
4811;2017;1539;Rauma;0.0014;0.0008;0.0014;0.001;1e-04;0.0;0.0;0.0048;0.0002;0.0004;0.0002;0.0253;0.2698;0.3897;0.0154;0.237;0.011;0.0417;0.0
4812;2018;1539;Rauma;0.0014;0.0008;0.0014;0.001;1e-04;0.0;0.0;0.0047;0.0002;0.0004;0.0002;0.0255;0.2702;0.3894;0.0153;0.2368;0.011;0.0416;0.0
4813;2019;1539;Rauma;0.0014;0.0008;0.0014;0.001;1e-04;0.0;0.0;0.0047;0.0002;0.0004;0.0002;0.0255;0.2698;0.3899;0.0154;0.2371;0.011;0.0411;0.0
4814;2020;1539;Rauma;0.0014;0.0008;0.0014;0.0011;1e-04;0.0;0.0;0.0047;0.0002;0.0004;0.0002;0.0255;0.2697;0.3898;0.0154;0.2372;0.011;0.0412;0.0
4815;2011;1543;Nesset;0.001;0.0006;0.0012;0.0007;0.0;0.0;0.0;0.0039;0.0;0.0002;0.0002;0.0233;0.2284;0.4566;0.016;0.198;0.0079;0.0619;0.0
4816;2013;1543;Nesset;0.001;0.0007;0.0013;0.0008;0.0;0.0;1e-04;0.0039;0.0;0.0002;1e-04;0.0219;0.2297;0.4588;0.0161;0.2001;0.0069;0.0584;0.0
4817;2014;1543;Nesset;0.001;0.0007;0.0013;0.0008;0.0;0.0;1e-04;0.0039;0.0;0.0002;1e-04;0.0219;0.2297;0.4588;0.0161;0.2001;0.0069;0.0584;0.0
4818;2015;1543;Nesset;0.001;0.0007;0.0013;0.0009;0.0;0.0;0.0;0.0038;0.0;0.0002;1e-04;0.0217;0.2298;0.4588;0.0161;0.2001;0.0069;0.0586;0.0
4819;2016;1543;Nesset;0.001;0.0007;0.0012;0.0009;0.0;0.0;1e-04;0.0037;0.0;1e-04;1e-04;0.022;0.2297;0.4588;0.0161;0.2001;0.0069;0.0585;0.0
4820;2017;1543;Nesset;0.001;0.0007;0.0013;0.0008;0.0;0.0;1e-04;0.0037;0.0;1e-04;1e-04;0.022;0.2296;0.4608;0.0161;0.1982;0.0068;0.0586;0.0
4821;2018;1543;Nesset;0.001;0.0007;0.0013;0.0009;0.0;0.0;1e-04;0.0037;0.0;1e-04;1e-04;0.0221;0.2296;0.4608;0.0161;0.1982;0.0068;0.0586;0.0
4822;2019;1543;Nesset;0.001;0.0007;0.0012;0.0009;0.0;0.0;0.0;0.004;0.0;1e-04;1e-04;0.0221;0.2293;0.4608;0.0161;0.1982;0.0068;0.0586;0.0
4824;2011;1545;Midsund;0.0082;0.0013;0.0046;0.0018;0.0003;1e-04;0.0002;0.0134;0.0;0.001;0.0003;0.0742;0.3271;0.5061;0.0275;0.0243;0.0;0.0096;0.0
4825;2013;1545;Midsund;0.0087;0.0013;0.0043;0.0017;0.0003;1e-04;1e-04;0.0149;0.0;0.0008;0.0003;0.074;0.3265;0.5057;0.0275;0.0243;0.0;0.0096;0.0
4826;2014;1545;Midsund;0.0088;0.0014;0.0043;0.0017;0.0003;1e-04;1e-04;0.0146;0.0;0.0008;0.0003;0.0739;0.3265;0.5059;0.0275;0.0241;0.0;0.0096;0.0
4827;2015;1545;Midsund;0.0089;0.0014;0.0044;0.0017;0.0003;1e-04;1e-04;0.0144;0.0;0.0007;0.0003;0.074;0.3266;0.5058;0.0275;0.0241;0.0;0.0097;0.0
4828;2016;1545;Midsund;0.0088;0.0015;0.0042;0.0018;0.0003;0.0002;1e-04;0.0142;0.0;0.0007;0.0013;0.0729;0.3273;0.5057;0.0274;0.0241;0.0;0.0096;0.0
4829;2017;1545;Midsund;0.0089;0.0015;0.0042;0.0018;0.0003;0.0002;0.0002;0.0142;0.0;0.0007;0.0013;0.0729;0.3272;0.5057;0.0274;0.0241;0.0;0.0095;0.0
4830;2018;1545;Midsund;0.0089;0.0015;0.0042;0.0018;0.0003;0.0002;0.0002;0.0146;0.0;0.0007;0.0013;0.0729;0.327;0.5054;0.0274;0.0241;0.0;0.0095;0.0
4831;2019;1545;Midsund;0.009;0.0016;0.0042;0.0018;0.0003;1e-04;0.0002;0.0145;0.0;0.0007;0.0014;0.0729;0.327;0.5053;0.0274;0.0241;0.0;0.0096;0.0
4833;2011;1546;Sandøy;0.0262;0.0065;0.0117;0.0065;0.0009;0.0005;0.0014;0.0248;0.0;0.0042;0.0019;0.2312;0.0612;0.3568;0.2135;0.0476;0.0;0.0051;0.0
